0,Other,2.457654033,633,Hispanic/Latinx,Female
1,Other,2.579135823,751,American Indian,Female
0,CS,2.399941458,857,White,Male
0,Engineering,2.756421517,1335,White,Male
0,Engineering,3.117457984,1197,White,Male
0,Other,2.573680766,1556,White,Female
0,Other,2.778233633,1074,White,Female
0,Engineering,2.136164054,957,White,Male
0,CS,3.544818435,1167,White,Female
0,Other,2.134916837,720,Asian/Pacific Islander,Female
0,Other,3.042267313,1266,Asian/Pacific Islander,Male
1,Math/Stat,3.675628188,1581,White,Male
0,Math/Stat,3.499891119,1200,White,Female
1,Math/Stat,3.006826916,916,White,Male
1,Engineering,2.389150145,1556,White,Male
1,Other,3.057567662,231,Hispanic/Latinx,Male
1,Other,2.483274966,800,American Indian,Female
1,Other,2.581922724,970,Hispanic/Latinx,Male
0,Other,3.338571134,1123,White,Female
1,CS,3.380728635,864,White,Male
1,Other,3.207106333,1079,White,Male
1,CS,2.825323034,1576,Black,Male
1,Engineering,2.804067296,1293,White,Male
0,Other,3.583938953,1465,Black,Male
0,Other,2.950452592,797,Black,Female
0,Engineering,2.610297671,1018,White,Male
1,Other,3.586072602,1039,Asian/Pacific Islander,Female
1,Engineering,3.237053308,701,White,Female
0,CS,2.680655856,1528,White,Male
1,Engineering,2.014938707,1097,White,Male
1,Math/Stat,2.197309901,1290,White,Female
0,Other,2.538582462,1469,Asian/Pacific Islander,Female
0,Math/Stat,3.504400164,1344,White,Female
0,Other,3.737338748,1261,Asian/Pacific Islander,Male
1,CS,2.12118695,919,Hispanic/Latinx,Male
1,CS,2.735356464,730,Black,Male
0,Other,3.459546425,635,Black,Male
0,Other,3.487045461,346,American Indian,Female
0,Other,3.358374367,802,White,Female
0,Other,3.812351688,871,Asian/Pacific Islander,Male
1,Engineering,2.003945297,1412,White,Male
0,Other,3.774833814,627,White,Female
1,Other,2.687744075,736,Hispanic/Latinx,Male
1,Engineering,2.296794813,726,White,Male
0,Other,3.446446822,490,Asian/Pacific Islander,Female
1,Math/Stat,3.109564824,1259,White,Male
1,Other,3.800277269,305,Hispanic/Latinx,Male
1,Other,3.420174503,683,Asian/Pacific Islander,Male
1,Engineering,2.103761074,1011,White,Female
0,Other,3.034117753,1455,Hispanic/Latinx,Female
0,Other,2.680592601,803,Asian/Pacific Islander,Male
1,Math/Stat,2.402573438,838,Black,Female
0,Engineering,2.432356618,698,White,Female
0,Other,3.561561916,1120,Hispanic/Latinx,Male
0,Engineering,3.605794495,1564,White,Male
0,Other,2.297630395,205,Black,Female
0,Math/Stat,2.514404674,986,White,Male
1,Other,3.925033115,420,Asian/Pacific Islander,Male
1,CS,2.649724136,1064,Asian/Pacific Islander,Male
0,Other,2.943147423,995,Hispanic/Latinx,Female
1,Other,3.220340862,945,White,Female
0,Math/Stat,3.455569567,732,White,Male
1,Engineering,3.58699199,1302,Asian/Pacific Islander,Male
1,Engineering,2.367673089,1390,White,Male
0,CS,2.743929418,708,Hispanic/Latinx,Male
1,Other,3.734510355,725,Asian/Pacific Islander,Male
1,Engineering,3.662839343,1329,White,Female
1,Other,2.101926365,897,Black,Male
1,CS,2.36997577,1411,White,Male
0,Engineering,2.517419043,1303,White,Male
1,Other,2.630385215,1013,Black,Male
1,CS,3.56409687,1250,White,Male
1,Other,2.870557628,532,Asian/Pacific Islander,Male
1,Other,3.43057942,773,Hispanic/Latinx,Female
1,Other,3.92304578,705,Hispanic/Latinx,Female
1,Engineering,2.215030082,1035,White,Male
0,Math/Stat,2.015764829,1400,White,Female
1,Other,3.076468634,208,American Indian,Male
1,Other,2.435484437,690,Black,Male
1,Other,3.219766357,914,White,Male
0,Other,3.283417367,912,American Indian,Female
0,CS,2.845342874,1574,Asian/Pacific Islander,Male
0,CS,3.574791201,1246,White,Male
1,CS,2.820321953,396,Hispanic/Latinx,Male
1,Math/Stat,2.240452338,926,Asian/Pacific Islander,Female
0,Other,2.789954189,1184,Black,Male
1,Other,2.547531406,1255,American Indian,Male
1,Other,2.195585647,680,American Indian,Female
0,CS,3.13074915,1041,Hispanic/Latinx,Male
1,CS,3.346814418,1020,Asian/Pacific Islander,Male
0,CS,2.668047763,1188,White,Male
0,Other,2.934251794,582,American Indian,Male
0,Engineering,2.83933926,1012,White,Male
1,Other,3.153188475,570,Hispanic/Latinx,Female
1,CS,2.331958293,844,White,Male
1,Engineering,2.619134236,1196,Hispanic/Latinx,Female
1,Other,3.494471658,1095,Hispanic/Latinx,Female
0,Other,2.311617877,1032,White,Female
1,Other,2.196027858,1516,White,Male
0,Math/Stat,3.445431102,1038,Asian/Pacific Islander,Female
1,Engineering,2.755489736,1171,White,Male
1,Other,2.804041137,825,White,Female
0,Other,3.285047499,568,White,Female
0,CS,2.251641441,1496,White,Male
1,Math/Stat,2.720961866,1231,White,Female
1,Math/Stat,3.579193011,1430,White,Male
1,Engineering,3.568044289,812,White,Male
1,CS,3.404626306,1469,White,Male
1,Engineering,3.471794698,1294,Asian/Pacific Islander,Female
1,Other,2.530282923,654,Black,Female
1,Other,2.902571205,882,American Indian,Female
1,Other,3.510403572,1174,Asian/Pacific Islander,Female
1,CS,2.69759088,1324,Asian/Pacific Islander,Male
1,Other,2.541041532,355,American Indian,Male
1,Other,3.703771106,1560,American Indian,Female
0,Other,3.600794909,626,White,Male
0,CS,2.850199073,1547,White,Male
1,CS,2.712587693,1521,White,Female
0,Engineering,2.72788481,979,White,Male
0,Other,2.34035073,858,Hispanic/Latinx,Male
1,CS,2.761143608,360,Black,Male
0,Other,2.939816623,1099,Asian/Pacific Islander,Female
0,Other,2.560637405,358,White,Female
0,Engineering,2.12583215,927,White,Male
0,Other,2.015917701,1024,Asian/Pacific Islander,Female
0,Other,3.863845342,1058,American Indian,Male
1,Engineering,3.420197289,1151,White,Female
0,Other,3.801027163,1165,American Indian,Male
